경매개시일,법원명,경매사건번호,주소,대지권,전용,감정가,낙찰가,낙찰일,입찰인수,유찰수,매각가율,역과의거리,임차인대항력,,,,,,,,,
20180726,서울중앙,2018-6649, 관악구 봉천동 635692 다세대주택 제3층 제302호   ,9.9,19.9,20300 ,18757 ,2021-02-25,14 ,2 ,0.92 ,975 ,1 ,,,,,,,,,
20180802,서울북부,2018-103419, 도봉구 쌍문동 31523 신건영빌리지 제나동 제4층 제402호   ,7.6,14.1,14000 ,13800 ,2021-03-15,2 ,1 ,0.99 ,310 ,1 ,,,,,,,,,
20180807,서울중앙 ,2018-6991, 관악구 신림동 412343 금호빌라2차 제1층 제102호  ,7.4,13.2,13000 ,12112 ,2020-11-25,1 ,1 ,0.93 ,479 ,0 ,,,,,,,,,
20180810,서울남부 ,2018-104792, 강서구 화곡동 805-7 제2층 제1호   ,7.5,10.8,12200 ,9709 ,2020-01-29,10 ,2 ,0.64 ,864 ,0 ,,,,,,,,,
20180821,서울남부,2018-104969, 강서구 화곡동 862-14 이수빌라(외관표시: 이수골드빌리지) 제1층 제1호  ,5.3,12.5,13400 ,11840 ,2020-04-08,4 ,1 ,0.88 ,770 ,0 ,,,,,,,,,
20180823,서울북부 ,2018-8361, 도봉구 쌍문동 460-165 천우그린빌라 제1층 제101호  ,7.1,12.6,13500 ,10978 ,2020-01-20,2 ,1 ,0.80 ,849 ,0 ,,,,,,,,,
20180903,서울북부,2018-8606, 중랑구 묵동 122-185 송원화랑맨션 제2층 제201호,8.6,19,23300 ,23100 ,2022-11-08,2 ,1 ,1.01 ,152 ,0 ,,,,,,,,,
20180904,서울북부,2018-8736, 노원구 상계동 136-2 풀내음파크빌 제3층 제303호   ,5.5,9,11000 ,9566 ,2020-04-27,6 ,2 ,0.87 ,649 ,1 ,,,,,,,,,
20180919,서울남부 ,2018-8474, 양천구 신월동 46931 우리아트빌 제에이동 제2층 제202호   ,8.8,18.6,18300 ,18200 ,2020-08-18,3 ,1 ,0.99 ,627 ,0 ,,,,,,,,,
20181004,서울남부 ,2018-8887, 강서구 화곡동 856-12 제1층 제103호  ,9.8,16.4,20400 ,16899 ,2020-01-22,10 ,2 ,0.64 ,571 ,0 ,,,,,,,,,
20181005,서울남부 ,2018-8993, 강서구 화곡동 5674 까치빌라 제2층 제201호  ,7,11.1,12500 ,8524 ,2020-06-09,2 ,2 ,0.68 ,933 ,0 ,,,,,,,,,
20181012,서울남부 ,2018-9187, 구로구 오류동 1-8 제4층 제403호,13.2,18,14900 ,15000 ,2020-05-20,11 ,2 ,1.00 ,831 ,1 ,,,,,,,,,
20181015,서울북부 ,2018-9791, 강북구 미아동 791-1103 화이트빌리지 제1동 제4층 제402호   ,2.8,4.8,11400 ,7325 ,2020-01-13,7 ,3 ,0.51 ,222 ,0 ,,,,,,,,,
20181015,서울북부 ,2018-9791, 강북구 미아동 791-1103 화이트빌리지 제1동 제5층 제501호   ,6.9,12,20000 ,13253 ,2020-01-13,11 ,3 ,0.51 ,222 ,0 ,,,,,,,,,
20181015,서울북부 ,2018-9456, 중랑구 중화동 323-81 성우스타팰리스 제106동 제5층 제502호   ,8.2,14.2,23900 ,21300 ,2020-01-20,1 ,3 ,0.51 ,239 ,1 ,,,,,,,,,
20181015,서울북부 ,2018-9456, 도봉구 방학동 425-18 건영빌라트 A 제3층 제302호   ,4.1,10.5,10100 ,0 ,2020-01-20,0 ,3 ,0.51 ,1929 ,1 ,,,,,,,,,
20181016,서울동부 ,2018-53709, 광진구 중곡동 257-8 정인빌비 제4층 제402호   ,8.7,15,37400 ,34000 ,2020-02-10,1 ,1 ,0.80 ,471 ,1 ,,,,,,,,,
20181017,서울동부 ,2018-53501, 성동구 옥수동 466 한남하이츠빌라 제나동현황:2동) 제3층 제305호 외1건   ,35.7,49.8,76000 ,120814 ,2020-06-29,28 ,0 ,1.59 ,648 ,1 ,,,,,,,,,
20181025,서울서부,2018-6064, 은평구 녹번동 31-19 은하빌라 제3층 제301호 ,7.4,13.5,16700 ,16759 ,2020-03-31,2 ,1 ,1.00 ,366 ,1 ,,,,,,,,,
20181026,서울서부 ,2018-5696, 은평구 불광동 44340 골드리움 제에이동 제1층 제103호  ,9,14.2,3000 ,23828 ,2020-06-09,3 ,2 ,0.79 ,703 ,0 ,,,,,,,,,
20181105,서울남부 ,2018-10231, 양천구 신월동 218-46 미성빌라 D동 제2층 제202호,8.3,11.1,12200 ,10100 ,2020-05-20,3 ,1 ,0.83 ,1050 ,1 ,,,,,,,,,
20181106,서울남부 ,2018-10149, 양천구 신월동 73-9외 1필지 가온빌 제4층 제404호   ,5.3,8.3,17000 ,15400 ,2020-01-14,1 ,1 ,0.80 ,884 ,1 ,,,,,,,,,
20181106,서울남부,2018-10149, 양천구 신월동 73-9외 1필지 가온빌 제2층 제201호 ,5.3,8.4,17300 ,14900 ,2020-02-25,2 ,2 ,0.86 ,877 ,1 ,,,,,,,,,
20181106,서울남부,2018-10149, 양천구 신월동 73-9외 1필지 가온빌 제2층 제204호 ,5.3,8.3,17000 ,14700 ,2020-02-25,2 ,2 ,0.86 ,877 ,1 ,,,,,,,,,
20181106,서울남부,2018-10149, 양천구 신월동 73-9외 1필지 가온빌 제6층 제602호 ,5.2,8.2,16800 ,15400 ,2020-02-25,1 ,2 ,0.92 ,877 ,1 ,,,,,,,,,
20181106,서울남부,2018-10149, 양천구 신월동 739외 1필지 가온빌 제4층 제403호   ,5.2,8.2,16800 ,2250 ,2021-04-27,3 ,10 ,0.13 ,886 ,1 ,,,,,,,,,
20181108,서울남부 ,2018-9682, 강서구 화곡동 56273 쉐라톤빌라 제4층 제402호   ,5.4,11.3,12300 ,4050 ,2020-10-06,2 ,5 ,0.33 ,1073 ,1 ,,,,,,,,,
