경매개시일,법원명,경매사건번호,주소,대지권,전용,감정가,낙찰가,낙찰일,입찰인수,유찰수,매각가율,역과의거리,임차인대항력,,,,,,,,,
20190826,서울북부,2019-106699, 도봉구 방학동 604-21 제이리아 제4층 제402호   ,11.9,19.2,21500 ,0 ,2020-04-27,0 ,0 ,0.00 ,940 ,1 ,,,,,,,,,
20190826,서울남부 ,2019-106467, 강서구 화곡동 56-268외 1필지 포레스토힐 제2층 제202호,10.4,18.6,20400 ,14326 ,2020-05-20,4 ,2 ,0.70 ,997 ,0 ,,,,,,,,,
20190826,서울남부,2019-7508, 강서구 화곡동 48827 화곡대진빌라 제2층 제202호   ,10,19.2,17000 ,14150 ,2021-02-24,6 ,2 ,0.83 ,1478 ,0 ,,,,,,,,,
20190826,서울북부,2019-106651, 성북구 종암동 31535 한솔에코타운 제5층 제501호   ,6,9.1,15000 ,2517 ,2021-05-17,2 ,8 ,0.17 ,799 ,1 ,,,,,,,,,
20190827,서울서부,2019-4591, 은평구 역촌동 43-38외 3필지 도올탑스텔 제2층 제202호 ,14.3,22.3,34900 ,35015 ,2020-03-24,1 ,0 ,1.00 ,182 ,0 ,,,,,,,,,
20190828,서울북부 ,2019-7341, 도봉구 창동 62336 평화빌라 제1층 제1호  ,6.5,11.6,11600 ,9512 ,2020-06-01,3 ,1 ,0.82 ,475 ,0 ,,,,,,,,,
20190828,서울남부 ,2019-7560, 강서구 화곡동 36653외 2필지 골드캐슬 제4층 제401호   ,7.3,12.5,22000 ,18897 ,2020-07-15,5 ,1 ,0.86 ,538 ,0 ,,,,,,,,,
20190828,서울남부 ,2019-7577, 양천구 신월동 4216 남도빌라 제에이동 제2층 제201호 외1건   ,15.4,20.7,20200 ,17788 ,2020-10-20,2 ,1 ,0.88 ,1144 ,0 ,,,,,,,,,
20190829,서울서부,2019-4645, 서대문구 홍은동 11-755외 1필지 오케이팰리스2 제4층 제403호 ,9.6,12.8,20100 ,21300 ,2020-02-11,1 ,0 ,1.06 ,833 ,1 ,,,,,,,,,
20190829,서울중앙 ,2019-107013, 관악구 신림동 412201 한영빌라 제4층 제401호   ,8.4,13,13500 ,13507 ,2020-06-17,1 ,0 ,1.00 ,440 ,0 ,,,,,,,,,
20190829,서울북부 ,2019-7396, 도봉구 창동 6082 금호빌라 제지하층 제비02호   ,5.1,12,9100 ,7281 ,2020-06-29,1 ,1 ,0.80 ,465 ,1 ,,,,,,,,,
20190829,서울서부 ,2019-4690, 마포구 창전동 3539 오스카빌 제A동 제지1층 제비01호현황:201호)   ,10.2,16.1,33600 ,28224 ,2020-07-07,2 ,1 ,0.84 ,292 ,0 ,,,,,,,,,
20190829,서울서부 ,2019-4669, 은평구 신사동 2263 금강블루 제8층 제801호   ,6.1,15.7,32000 ,13107 ,2020-07-14,1 ,4 ,0.41 ,661 ,1 ,,,,,,,,,
20190829,서울남부 ,2019-7591, 금천구 시흥동 86161외 1필지 비전하우스 제에이동 제3층 제302호   ,9.4,16.4,20200 ,18109 ,2020-08-18,4 ,1 ,0.90 ,962 ,0 ,,,,,,,,,
20190829,서울중앙 ,2019-107051, 중구 신당동 4322011 제1층 제101호  ,6.2,17.6,22300 ,15315 ,2020-11-18,2 ,2 ,0.69 ,275 ,0 ,,,,,,,,,
20190829,서울중앙,2019-107006, 동작구 상도동 279364 성림그린빌 제1층 제101호   ,8.7,17.3,20500 ,14750 ,2021-02-18,2 ,2 ,0.72 ,970 ,1 ,,,,,,,,,
20190829,서울서부,2019-4652, 은평구 신사동 226-3 금강블루 제6층 제602호,6.1,15.7,32000 ,7210 ,2021-10-12,4 ,8 ,0.23 ,665 ,1 ,,,,,,,,,
20190830,서울남부,2019-106597, 양천구 신월동 241-25외 1필지 에스케이그랑빌 제2층 제204호   ,5.3,9.1,11300 ,0 ,2020-04-08,0 ,0 ,0.00 ,874 ,0 ,,,,,,,,,
20190830,서울남부 ,2019-7645, 강서구 화곡동 913외 1필지 가원홈타운 제3층 제302호   ,7.6,16.3,25000 ,22000 ,2020-07-14,1 ,1 ,0.88 ,771 ,1 ,,,,,,,,,
20190830,서울남부,2019-106597, 영등포구 신길동 12410 신길바른리움 제101동 제7층 제704호   ,3.3,4.4,15500 ,3251 ,2021-08-17,1 ,7 ,0.21 ,463 ,1 ,,,,,,,,,
20190902,서울중앙 ,2019-107297, 동작구 상도동 279265 제니스빌 제3층 제301호  ,10.4,17.6,27900 ,25720 ,2020-10-21,7 ,2 ,0.92 ,780 ,0 ,,,,,,,,,
20190902,서울중앙 ,2019-107235, 관악구 봉천동 180175 세하빌라 제지하층 제1호출입문표시:B01)  ,7.4,16,14700 ,10000 ,2021-01-26,1 ,2 ,0.68 ,823 ,0 ,,,,,,,,,
20190903,서울북부,2019-7587, 강북구 수유동 486-161 행복한집 제2층 제202호   ,10.3,17.6,18900 ,13834 ,2020-05-11,2 ,2 ,0.73 ,364 ,0 ,,,,,,,,,
20190903,서울남부 ,2019-106610, 강서구 화곡동 24114 훼미리타운 제3층 제303호   ,5.9,10.4,13000 ,13060 ,2020-06-09,3 ,1 ,1.00 ,657 ,0 ,,,,,,,,,
20190903,서울북부 ,2019-107012, 성북구 정릉동 16358 다세대주택 제지하층 제비02호   ,5.7,10.1,11000 ,7711 ,2020-06-29,1 ,2 ,0.70 ,205 ,0 ,,,,,,,,,
20190903,서울남부 ,2019-106610, 강서구 화곡동 5965 제5층 제501호   ,7.5,11.3,15500 ,11599 ,2020-10-02,6 ,3 ,0.75 ,592 ,0 ,,,,,,,,,
20190903,서울동부,2019-53911, 송파구 송파동 100-6 제1층 제101호 외23건,95.3,86.8,333752 ,333800 ,2022-10-17,1 ,0 ,1.00 ,405 ,1 ,,,,,,,,,
20190904,서울남부,2019-7768, 강서구 방화동 553-6 제지하층 제101호 ,6.6,8.8,9600 ,7987 ,2020-02-25,1 ,1 ,0.83 ,267 ,1 ,,,,,,,,,
20190904,서울북부,2019-107036, 성북구 정릉동 68813 동욱빌라트 제1층 제102호   ,10.7,23.9,26200 ,15811 ,2021-02-15,2 ,3 ,0.60 ,429 ,0 ,,,,,,,,,
20190904,서울북부,2019-107036, 성북구 정릉동 68813 동욱빌라트 제1층 제101호   ,11.5,25.7,28000 ,14847 ,2021-02-15,3 ,3 ,0.53 ,429 ,0 ,,,,,,,,,
20190905,서울북부 ,2019-7594, 중랑구 상봉동 27623 동일스카이씨티빌 제102동 제5층 제502호  ,12.5,18.1,31000 ,25730 ,2020-06-08,4 ,1 ,0.83 ,132 ,0 ,,,,,,,,,
20190905,서울동부 ,2019-54341, 송파구 방이동 12717 산 제1층 제1호현황 : 201호)   ,8.9,12.4,18000 ,21311 ,2021-01-18,3 ,0 ,1.18 ,572 ,0 ,,,,,,,,,
20190905,서울북부 ,2019-106880, 강북구 수유동 53062 한신62 제3층 제2호   ,8.4,10,9100 ,10000 ,2021-02-08,1 ,0 ,1.10 ,701 ,1 ,,,,,,,,,
20190906,서울동부 ,2019-54358, 송파구 거여동 57 샤인파크빌 제5층 제503호  ,7.9,14.1,25600 ,22511 ,2021-02-08,3 ,1 ,0.88 ,567 ,0 ,,,,,,,,,
20190909,서울북부,2019-7785, 성북구 장위동 219-90 제2층 제4호 외1건  ,12.6,15.1,19000 ,15550 ,2020-05-11,6 ,2 ,0.82 ,1343 ,0 ,,,,,,,,,
20190909,서울동부 ,2019-54044, 송파구 잠실동 3307 궁전빌아트 제4층 제402호현관문 표기:502호)   ,6.9,15.6,27400 ,28600 ,2020-06-08,2 ,0 ,1.04 ,283 ,0 ,,,,,,,,,
20190909,서울중앙 ,2019-105505, 동작구 상도1동 8122 댄디하우스 제지하층 제102호   ,0.9,1.3,1500 ,1510 ,2020-11-03,1 ,0 ,1.01 ,119 ,0 ,,,,,,,,,
20190909,서울서부,2019-54541, 은평구 녹번동 1601 리치에비뉴 제2층 제201호   ,5.5,10.6,22000 ,3263 ,2021-06-15,0 ,10 ,0.15 ,309 ,1 ,,,,,,,,,
20190910,서울서부,2019-54602, 용산구 청파동1가 97-63 대명파크빌 제3층 제301호 ,9.5,17.1,31500 ,35950 ,2020-02-11,6 ,0 ,1.14 ,456 ,1 ,,,,,,,,,
20190910,서울북부 ,2019-107241, 중랑구 상봉동 13054 외 1필지 아안채 제6층 제602호  ,5.6,12.8,25200 ,21199 ,2020-06-29,3 ,1 ,0.84 ,257 ,0 ,,,,,,,,,
20190910,서울서부 ,2019-54619, 서대문구 연희동 1008 연세빌라 제3층 제302호  ,30.3,38.6,51500 ,54200 ,2020-07-21,15 ,1 ,1.05 ,1339 ,0 ,,,,,,,,,
20190910,서울남부 ,2019-106924, 양천구 목동 324125 신현빌 제6층 제601호   ,7.7,11.8,23700 ,19000 ,2020-08-19,1 ,2 ,0.80 ,1995 ,1 ,,,,,,,,,
20190911,서울남부 ,2019-7775, 강서구 화곡동 45318외 1필지 덕현해밀 제비동 제6층 제601호   ,9.6,15.8,25900 ,20800 ,2020-06-09,2 ,1 ,0.80 ,561 ,1 ,,,,,,,,,
20190916,서울남부 ,2019-107095, 금천구 독산동 962-22 로즈빌Ⅱ 제4층 제401호,3.6,8.1,20400 ,16978 ,2020-05-20,1 ,1 ,0.83 ,919 ,1 ,,,,,,,,,
20190916,서울북부 ,2019-107449, 중랑구 묵동 237-86 청솔하이츠빌라 제4층 제401호  ,8,14.1,19300 ,18101 ,2020-05-25,3 ,1 ,0.94 ,286 ,0 ,,,,,,,,,
20190916,서울서부 ,2019-4737, 은평구 응암동 11111외 1필지 신한주택 제6층 제601호   ,3.8,11.7,18500 ,18000 ,2020-06-02,1 ,1 ,0.97 ,233 ,1 ,,,,,,,,,
20190916,서울중앙 ,2019-107617, 종로구 동숭동 458 동숭빌라 제지하층 제102호   ,2.8,7.4,5100 ,3771 ,2020-11-18,4 ,2 ,0.74 ,372 ,1 ,,,,,,,,,
20190917,서울남부 ,2019-7966, 양천구 신월동 22624 금호브라운빌 제4층 제402호  ,9.7,17.4,20400 ,19000 ,2021-01-27,5 ,1 ,0.93 ,1006 ,0 ,,,,,,,,,
20190918,서울서부,2019-4973, 은평구 역촌동 57-3외 1필지 브라운스톤빌 제2층 제201호  ,9.1,16.5,20000 ,13889 ,2020-04-21,4 ,2 ,0.69 ,657 ,0 ,,,,,,,,,
20190918,서울남부 ,2019-7973, 양천구 목동 318158 금강아트빌 제2층 제202호   ,5,10.3,12800 ,10692 ,2020-08-12,1 ,2 ,0.84 ,842 ,1 ,,,,,,,,,
20190918,서울중앙,2019-107501, 관악구 봉천동 4132 대원빌라 제2층 제201호   ,1.9,2.6,3300 ,2805 ,2021-03-02,2 ,1 ,0.85 ,718 ,0 ,,,,,,,,,
20190918,서울동부,2019-4773, 성동구 도선동 329-1 에코하우스빌딩 제5층 제507호 ,2,3.8,13400 ,13829 ,2022-04-11,16 ,1 ,1.03 ,182 ,0 ,,,,,,,,,
20190919,서울남부,2019-8044, 강서구 화곡동 410-284 태진하우스 제5층 제501호   ,5,8.1,16500 ,14500 ,2020-04-28,1 ,1 ,0.88 ,669 ,1 ,,,,,,,,,
20190919,서울중앙 ,2019-107624, 서초구 방배동 45841 대림홈타운 제3층 제301호   ,5.8,11.2,35000 ,32150 ,2020-07-21,1 ,1 ,0.92 ,530 ,1 ,,,,,,,,,
20190920,서울남부 ,2019-8105, 강서구 화곡동 424-23외 1필지 호성그린뷰 제6층 제602호   ,7.8,12.8,24400 ,0 ,2020-01-08,0 ,1 ,0.80 ,405 ,1 ,,,,,,,,,
20190920,서울남부 ,2019-8105, 양천구 목동 789-25외 1필지 라테라스 제4층 제402호   ,7.9,12.4,24600 ,0 ,2020-01-08,0 ,1 ,0.80 ,783 ,1 ,,,,,,,,,
20190920,서울남부 ,2019-8075, 강서구 화곡동 56-70 안곡빌라 제지하층 제001호 (통칭:B01호),8.3,10,7200 ,5188 ,2020-05-20,2 ,2 ,0.72 ,946 ,0 ,,,,,,,,,
20190920,서울북부 ,2019-107524, 강북구 수유동 56041 유경쉐르빌2차 제4층 제401호  ,8.8,13.7,20300 ,18271 ,2020-07-06,2 ,1 ,0.90 ,559 ,0 ,,,,,,,,,
20190920,서울남부 ,2019-6703, 구로구 구로동 7234외 3필지 대성펠리스 5차 제2층 제202호  ,5.5,9,22000 ,21300 ,2020-11-11,1 ,1 ,0.97 ,473 ,0 ,,,,,,,,,
20190920,서울남부,2019-8105, 강서구 화곡동 35010 뫼비우스 제6층 제604호   ,6.6,9.4,25200 ,3411 ,2021-03-23,1 ,9 ,0.14 ,306 ,1 ,,,,,,,,,
20190923,서울북부,2019-7648, 강북구 번동 148-203 승한빌라 제1층 제2호(현황:102호) ,7.7,11.1,9600 ,8188 ,2020-02-24,1 ,1 ,0.85 ,749 ,0 ,,,,,,,,,
20190923,서울남부 ,2019-3209, 강서구 공항동 55327 제지하층 제비3호  ,8.3,14.1,11200 ,9000 ,2020-06-16,1 ,1 ,0.80 ,418 ,0 ,,,,,,,,,
20190923,서울중앙 ,2019-7533, 관악구 남현동 105451 삼성쉐르빌 제4층 제401호   ,4.6,10.1,21500 ,19750 ,2020-07-22,4 ,1 ,0.92 ,782 ,1 ,,,,,,,,,
20190923,서울동부 ,2019-54631, 광진구 중곡동 3439외 1필지 강남그레이스빌 제5층 제501호   ,6.5,6.2,21600 ,23000 ,2020-07-27,1 ,0 ,1.06 ,320 ,1 ,,,,,,,,,
20190923,서울중앙,2019-7502, 서초구 방배동 52895 무궁화빌라 제지층 제1호   ,17.9,27.7,53000 ,56530 ,2021-02-18,2 ,1 ,1.07 ,524 ,1 ,,,,,,,,,
20190924,서울북부,2019-107630, 중랑구 묵동 233-80외 1필지 쏠라팰리스 제3층 제302호   ,8.7,14.4,28100 ,22150 ,2020-05-11,12 ,2 ,0.79 ,507 ,0 ,,,,,,,,,
20190924,서울북부 ,2019-8122, 도봉구 방학동 632 예지팰리스84차 제105동 제2층 제202호  ,6.7,7.8,16400 ,13525 ,2020-07-06,2 ,1 ,0.82 ,1035 ,0 ,,,,,,,,,
20190924,서울서부 ,2019-5075, 은평구 응암동 7015 외2건   ,7,9.7,10100 ,9000 ,2020-10-06,1 ,1 ,0.89 ,544 ,1 ,,,,,,,,,
20190924,서울서부 ,2019-5044, 서대문구 연희동 520120외 5필지 연흥가나안빌라 제나동 제3층 제302호   ,7.9,18.1,20100 ,16090 ,2021-02-09,1 ,1 ,0.80 ,778 ,1 ,,,,,,,,,
20190925,서울북부,2019-8177, 중랑구 중화동 328-15 삼성캐슬 제4층 제401호 ,8.8,14.3,26700 ,23760 ,2020-02-24,4 ,1 ,0.89 ,486 ,0 ,,,,,,,,,
20190925,서울서부,2019-54824, 은평구 응암동 197-57외 1필지 한솔하이빌 제2층 제202호   ,8.5,15.6,21000 ,18500 ,2020-04-21,4 ,1 ,0.88 ,655 ,1 ,,,,,,,,,
20190925,서울북부,2019-8160, 노원구 상계동 1016-3 드림타운 제5층 제501호  ,9.8,15.7,20500 ,18000 ,2020-05-11,3 ,1 ,0.88 ,406 ,0 ,,,,,,,,,
20190925,서울북부 ,2019-8207, 강북구 수유동 486799 청화타운 제1동 제3층 제2호외문표기:302호)   ,7,7.1,7000 ,5555 ,2020-06-08,4 ,2 ,0.79 ,620 ,0 ,,,,,,,,,
20190925,서울남부 ,2019-8273, 강서구 화곡동 39721 호성주택 제2층 제201호   ,8.5,18.7,20900 ,19300 ,2020-06-17,1 ,1 ,0.92 ,371 ,1 ,,,,,,,,,
20190925,서울서부 ,2019-5082, 은평구 불광동 480216외 1필지 삼익하이빌 제5층 제501호  ,9.2,14.7,18509 ,16110 ,2020-07-21,7 ,1 ,0.87 ,540 ,0 ,,,,,,,,,
20190925,서울서부 ,2019-54800, 서대문구 홍제동 356145외 1필지 라비앙 제5층 제502호   ,5.5,9,17400 ,15000 ,2020-09-29,1 ,3 ,0.86 ,645 ,1 ,,,,,,,,,
20190925,서울중앙 ,2019-7571, 종로구 혜화동 7123 제지하층 제에이호통칭:1호)   ,10.9,12.8,18500 ,15577 ,2020-12-03,1 ,1 ,0.84 ,381 ,0 ,,,,,,,,,
20190926,서울북부 ,2019-8276, 성북구 종암동 112-9 하우빌 제3층 제301호   ,6.9,8.6,18400 ,18400 ,2020-01-20,1 ,0 ,1.00 ,170 ,1 ,,,,,,,,,
20190926,서울서부,2019-5150, 은평구 역촌동 10-54 벨라지움 제에이동 제6층 제601호  ,9.2,15.4,30000 ,25524 ,2020-04-21,3 ,1 ,0.85 ,406 ,0 ,,,,,,,,,
20190926,서울남부 ,2019-107491, 강서구 화곡동 16335외 1필지 홍성파크빌 제5층 제502호  ,6.2,11.2,15200 ,11433 ,2020-11-10,3 ,2 ,0.75 ,570 ,0 ,,,,,,,,,
20190927,서울남부,2019-8341, 양천구 신월동 98-26외 1필지 신월씨티빌 제5층 제502호   ,11.8,22.3,20000 ,17111 ,2020-04-14,1 ,1 ,0.86 ,970 ,1 ,,,,,,,,,
20190927,서울남부 ,2019-107569, 강서구 내발산동 745 마곡수산파크 제803동 제1층 제101호  ,0,25.6,70000 ,68000 ,2020-07-15,10 ,1 ,0.97 ,738 ,0 ,,,,,,,,,
20190927,서울남부 ,2019-106757, 양천구 목동 80425 신성빌라 제지하층 제비01호   ,7.3,17.2,22320 ,19050 ,2020-11-17,1 ,1 ,0.85 ,505 ,0 ,,,,,,,,,
20190930,서울북부,2019-107746, 노원구 상계동 136-24 풀하우스2차 제5층 제501호   ,1.5,2.5,4200 ,4200 ,2020-04-27,1 ,0 ,1.00 ,548 ,0 ,,,,,,,,,
20190930,서울남부 ,2019-8426, 강서구 화곡동 9212 제지하층 제나호   ,8.2,12.5,11400 ,11420 ,2020-06-17,3 ,1 ,1.00 ,504 ,0 ,,,,,,,,,
20190930,서울동부 ,2019-4902, 강동구 둔촌동 523 리라빌라 제1층 제2호출입문표시 및 현황:202호)  ,9.9,13.2,20000 ,18835 ,2020-06-22,5 ,1 ,0.94 ,605 ,0 ,,,,,,,,,
20190930,서울서부 ,2019-5235, 은평구 갈현동 4824 제3층 제301호  ,0,20.3,20640 ,20007 ,2020-07-21,2 ,1 ,0.97 ,191 ,1 ,,,,,,,,,
20190930,서울남부 ,2019-8426, 강서구 화곡동 8151외 1필지 에이엔케슬 제6층 제601호   ,3.4,6.6,17100 ,9001 ,2020-10-07,1 ,3 ,0.53 ,1229 ,1 ,,,,,,,,,
20191001,서울남부 ,2019-8464, 양천구 신정동 913-8외 1필지 신목아트빌 제4층 제401호,7.7,13.8,23500 ,19311 ,2020-05-13,2 ,1 ,0.82 ,157 ,1 ,,,,,,,,,
20191001,서울북부 ,2019-8436, 강북구 수유동 55519외 1필지 수유 아인빌 제2층 제202호  ,11.9,18.6,24000 ,18060 ,2020-06-08,8 ,2 ,0.75 ,486 ,0 ,,,,,,,,,
20191001,서울남부,2019-107774, 양천구 목동 318238 성진리치빌 제2층 제203호   ,6.2,9.1,17400 ,13920 ,2021-02-16,1 ,1 ,0.80 ,1394 ,1 ,,,,,,,,,
20191002,서울남부 ,2019-8501, 금천구 독산동 9625 엠코타운 제2동 제6층 제601호   ,8.1,16.8,25500 ,24001 ,2020-06-16,9 ,1 ,0.94 ,822 ,0 ,,,,,,,,,
20191002,서울중앙 ,2019-7755, 관악구 봉천동 64558외 1필지 제지1층 제비02호   ,6.1,9.6,12500 ,6600 ,2020-11-25,1 ,3 ,0.53 ,601 ,1 ,,,,,,,,,
20191002,서울동부,2019-54839, 강동구 일동 312168 태양빌딩 제5층 제501호   ,4.4,9,20900 ,19000 ,2021-06-07,1 ,1 ,0.91 ,238 ,0 ,,,,,,,,,
20191002,서울동부,2019-54839, 강동구 일동 312168 태양빌딩 제2층 제202호   ,2.6,5.2,12500 ,0 ,2021-06-07,0 ,1 ,0.00 ,234 ,1 ,,,,,,,,,
20191002,서울동부,2019-54839, 강동구 일동 312168 태양빌딩 제2층 제201호   ,6.1,12.3,28200 ,23480 ,2021-08-30,3 ,2 ,0.83 ,233 ,0 ,,,,,,,,,
20191004,서울북부 ,2019-8528, 중랑구 면목동 15636 서건빌라 제비동 제3층 제304호   ,14.8,27.7,47000 ,38500 ,2020-08-18,8 ,2 ,0.82 ,564 ,0 ,,,,,,,,,
20191007,서울북부 ,2019-107876, 성북구 석관동 33264외 3필지 초원빌리지 제3층 제302호   ,5.9,9.1,22300 ,26800 ,2020-06-01,7 ,0 ,1.20 ,348 ,1 ,,,,,,,,,
20191007,서울동부 ,2019-54945, 강동구 암사동 487 정우홈타운 제5층 제502호   ,7.7,13.2,21000 ,19199 ,2020-07-13,3 ,1 ,0.91 ,724 ,0 ,,,,,,,,,
20191008,서울서부 ,2019-55070, 마포구 망원동 40325 제가동현황:A동) 제지하층 제비02호현황:102호)   ,7.3,11.4,16800 ,16128 ,2020-06-02,9 ,1 ,0.96 ,412 ,0 ,,,,,,,,,
20191010,서울남부 ,2019-8679, 양천구 신월동 91311 동미1 제지하층 제101호  ,6.6,8.9,8200 ,7198 ,2020-07-14,1 ,1 ,0.88 ,1549 ,0 ,,,,,,,,,
20191010,서울동부 ,2019-55023, 광진구 구의동 20826 뉴현대빌라 제4층 제404호  ,9.1,19.6,28700 ,26181 ,2020-11-16,3 ,1 ,0.91 ,571 ,0 ,,,,,,,,,
20191011,서울서부 ,2019-55148, 마포구 성산동 74 선호빌 제비동 제4층 제401호   ,13.5,21.8,37500 ,36880 ,2020-07-21,6 ,1 ,0.98 ,570 ,0 ,,,,,,,,,
20191014,서울남부 ,2019-8471, 금천구 시흥동 957-5 제에이-3층 제301호,17.7,29.1,30000 ,24669 ,2020-05-20,1 ,1 ,0.82 ,752 ,1 ,,,,,,,,,
20191014,서울북부 ,2019-8726, 동대문구 제기동 192외 1필지 리첸빌리지 제1층 제101호,12.3,18.7,29500 ,24220 ,2020-05-25,1 ,1 ,0.82 ,411 ,1 ,,,,,,,,,
20191014,서울남부 ,2019-8716, 구로구 개봉동 32810 경원빌리지 제가동 제3층 제302호  ,9.7,19.7,22200 ,20360 ,2020-10-13,3 ,1 ,0.92 ,529 ,0 ,,,,,,,,,
20191014,서울북부 ,2019-8702, 동대문구 이문동 430 황지클래스 제101동 제6층 제601호  ,9.6,15.1,45000 ,45550 ,2020-11-16,1 ,0 ,1.01 ,299 ,0 ,,,,,,,,,
20191015,서울서부,2019-5457, 서대문구 북가좌동 278-26 제1호동 제1층 제102호 ,6.3,13.1,15200 ,13010 ,2020-03-24,3 ,1 ,0.86 ,378 ,0 ,,,,,,,,,
20191015,서울서부,2019-55216, 은평구 구산동 217-22 삼정빌라 제지하층 제2호   ,4.7,11.5,8700 ,6800 ,2020-04-21,6 ,2 ,0.78 ,390 ,0 ,,,,,,,,,
20191015,서울북부 ,2019-108039, 강북구 수유동 46649 드림캐슬 제2층 제202호  ,6.9,8.1,15600 ,12890 ,2020-06-08,1 ,1 ,0.83 ,502 ,0 ,,,,,,,,,
20191015,서울중앙 ,2019-108429, 관악구 신림동 145347 제1층 제101호   ,7.3,12.9,20100 ,21511 ,2021-01-27,2 ,0 ,1.07 ,471 ,0 ,,,,,,,,,
20191015,서울북부,2019-8689, 동대문구 장안동 1849외 1필지 씨제이베네치아 제5층 제504호   ,8.1,12.3,27700 ,9537 ,2021-05-31,1 ,7 ,0.34 ,770 ,1 ,,,,,,,,,
20191016,서울서부,2019-55230, 은평구 역촌동 43-38외 3필지 도올탑스텔 제3층제302호   ,14.3,22.3,34900 ,3495 ,2020-04-28,1 ,0 ,0.10 ,182 ,1 ,,,,,,,,,
20191016,서울북부,2019-108053, 노원구 공릉동 506-4 신화리치빌 제3층 제302호 ,10.1,20,22000 ,21999 ,2020-05-11,15 ,1 ,1.00 ,314 ,0 ,,,,,,,,,
20191016,서울서부 ,2019-5471, 은평구 구산동 2458 제지층 제비101호  ,6,11.4,7700 ,5580 ,2020-08-25,1 ,2 ,0.72 ,540 ,0 ,,,,,,,,,
20191016,서울중앙 ,2019-8024, 동작구 상도동 7112 대영빌라 제지하층 제2호  ,5.9,12.1,13200 ,10600 ,2020-10-13,1 ,1 ,0.80 ,445 ,0 ,,,,,,,,,
20191016,서울동부 ,2019-54969, 송파구 삼전동 113 스카이빌 제2층 제202호   ,7,11.4,39400 ,35452 ,2020-10-19,5 ,1 ,0.90 ,169 ,1 ,,,,,,,,,
20191017,서울북부 ,2019-108121, 강북구 수유동 270-22 충효타운 제5층 제504호,9.4,12.2,22200 ,19000 ,2020-05-11,1 ,1 ,0.86 ,547 ,1 ,,,,,,,,,
20191017,서울서부 ,2019-55315, 은평구 갈현동 67 수정그린빌라 제2층 제202호   ,8.9,20,22700 ,19522 ,2020-06-02,1 ,1 ,0.86 ,839 ,1 ,,,,,,,,,
20191017,서울남부 ,2019-108272, 강서구 등촌동 52324 다울네버빌 제에이동 제2층 제201호   ,2.6,5.4,6710 ,6740 ,2020-06-16,1 ,0 ,1.00 ,526 ,1 ,,,,,,,,,
20191017,서울북부 ,2019-8801, 성북구 성북동1가 108 팔복빌라 제3층 제301호   ,8.1,16.3,27400 ,24600 ,2020-06-29,1 ,1 ,0.90 ,396 ,0 ,,,,,,,,,
20191017,서울남부 ,2019-108159, 금천구 독산동 96222 로즈빌2 제3층 제302호   ,4.2,9.4,19400 ,17889 ,2020-10-06,1 ,1 ,0.92 ,921 ,1 ,,,,,,,,,
20191018,서울동부 ,2019-55207, 광진구 화양동 1328 제1층 제106호   ,4.1,4.5,6300 ,11339 ,2020-06-22,1 ,0 ,1.80 ,257 ,0 ,,,,,,,,,
20191018,서울동부 ,2019-55207, 광진구 화양동 1328 제1층 제107호   ,6.2,6.9,9600 ,12967 ,2020-06-22,1 ,0 ,1.35 ,257 ,1 ,,,,,,,,,
20191018,서울동부 ,2019-55207, 광진구 화양동 1328 제1층 제108호   ,6.2,6.9,9600 ,13077 ,2020-06-22,1 ,0 ,1.36 ,269 ,0 ,,,,,,,,,
20191018,서울동부 ,2019-55207, 광진구 화양동 1328 제1층 제109호   ,6.2,6.9,9600 ,13088 ,2020-06-22,1 ,0 ,1.36 ,257 ,0 ,,,,,,,,,
20191018,서울동부 ,2019-55207, 광진구 화양동 1328 제1층 제110호   ,6.2,6.9,9600 ,12860 ,2020-06-22,5 ,0 ,1.34 ,257 ,0 ,,,,,,,,,
20191018,서울동부 ,2019-55207, 광진구 화양동 1328 제2층 제202호   ,15.5,17.1,24000 ,29047 ,2020-06-22,2 ,0 ,1.21 ,269 ,0 ,,,,,,,,,
20191018,서울동부 ,2019-55207, 광진구 화양동 1328 제3층 제301호   ,10.3,11.4,16000 ,20327 ,2020-06-22,1 ,0 ,1.27 ,257 ,1 ,,,,,,,,,
20191018,서울동부 ,2019-55207, 광진구 화양동 1328 제3층 제303호   ,4.2,4.6,6500 ,11655 ,2020-06-22,1 ,0 ,1.79 ,257 ,0 ,,,,,,,,,
20191018,서울동부 ,2019-55207, 광진구 화양동 1328 제3층 제304호   ,6.2,6.9,9600 ,13965 ,2020-06-22,1 ,0 ,1.45 ,257 ,1 ,,,,,,,,,
20191018,서울동부 ,2019-55207, 광진구 화양동 1328 제4층 제401호   ,9.4,10.4,16270 ,19524 ,2020-06-22,1 ,0 ,1.20 ,269 ,0 ,,,,,,,,,
20191018,서울동부 ,2019-55061, 광진구 중곡동 2894 바우하우스 제4층 제402호  ,10.8,18,30500 ,28488 ,2020-10-19,5 ,1 ,0.00 ,414 ,0 ,,,,,,,,,
20191018,서울동부 ,2019-55207, 광진구 화양동 1328 제3층 제302호   ,15.9,17.6,24600 ,35140 ,2020-10-26,2 ,1 ,1.43 ,258 ,0 ,,,,,,,,,
20191018,서울동부,2019-55207, 광진구 화양동 1328 제3층 제305호   ,18.6,20.6,29000 ,26159 ,2021-03-08,1 ,1 ,0.90 ,257 ,1 ,,,,,,,,,
